1/1/2012 05:21:30 AM	Sally	C
1/1/2012 08:14:58 AM	David	F
1/1/2012 11:59:57 AM	Sally	E
1/1/2012 6:13:57 PM	Sally	E
1/1/2012 06:28:52 PM	Sally	A
1/1/2012 6:46:52 PM	Sally	C
1/1/2012 09:52:28 PM	Peter	F
1/2/2012 01:04:21 AM	Peter	D
1/2/2012 01:25:28 AM	Peter	A
1/2/2012 10:27:04 AM	David	E
1/2/2012 10:48:35 AM	David	A
1/2/2012 11:53:58 AM	David	C
1/X/2012 11:53:58 AM	David	C
1/2/2012 11:53:58 AM	David
1/2/2012 11:53:58 AM

#should print 5 times to stderr
1/2/2012 10:52:10 PM	Sally	C
1/2/2012 05:21:30 AM	Sally	C
1/2/2012 08:14:58 AM	David	F
1/2/2012 11:59:57 AM	Sally	E
1/2/2012 6:13:57 PM	Sally	E
1/2/2012 06:28:52 PM	Sally	A
1/2/2012 6:46:52 PM	Sally	C
1/2/2012 09:52:28 PM	Peter	F
1/3/2012 01:04:21 AM	Peter	D
1/3/2012 01:25:28 AM	Peter	A
1/3/2012 10:27:04 AM	David	E
1/3/2012 10:48:35 AM	David	A
1/3/2012 11:53:58 AM	David	C
1/3/2012 10:52:10 PM	Sally	C
